שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
אלול,ארגון,עמותת אלול - אלו ואלו,,580149698,,#VALUE!,,1989,https://www.elul.org.il/,יהדות חילונית,,,,,,,,39
אנו,ארגון,"אנו - עושים שינוי בע""מ",ANU - Making Change,513446625,,"מתוך אתר הארגון: ""יותר מ-160,000 איש כבר פעלו איתנו בשנים האחרונות"".. ""אנו"" הינה חל""צ המורכבת מאיחוד הארגונים החברתיים הבאים:
1. אג'נדה - עוסק בקידום נושאים חברתיים שונים בכלי התקשורת. הוקם ע""י הקרן החדשה בתמיכת קרן פורד.
2. עורו - פועלת בתחום החברתי
3. השדרה - קמה מתוך מחאת האוהלים של 2011",,2013,https://anu.org.il/,,,,,"מתוך אתר הארגון: ""אנו קמה כדי לחזק ולחבר את קהילת הפעילים לצדק חברתי בישראל.. אנחנו נותנים ייעוץ, הכוונה וכלים לפעילים ופעילות חברתיים, וגם מובילים קמפיינים יחד עם פורומים וקואליציות רחבות של עשרות ארגונים בתחומי כלכלה-חברה, סביבה ודמוקרטיה"".",,,,40
אנשים התנועה לקידום שיוויון,ארגון,???,,,,,,,,,,,,,,,,41
ארגונים נוצריים שונים,קרן,,,,,,,,,,,,,,,,,42
ארצה ARZA,קרן,,,,,,,,,,,,,,,,,43
בינה,ארגון,"בינ""ה - מרכז ליהדות חברתית (ע""ר)",Bina: The Jewish Movement for Social Change,580652378,,"ארגון שעוסק בזהות יהודית ותרבות ישראלית. היהדות כתרבות.. מפעיל ישיבות חילוניות.
פועלת בחסות החל""צ ""מרחבים"" של התנועה הקיבוצית",,1996,https://www.bina.org.il/,,,,,,,,,44
בית אבי חי,ארגון,בית אבי חי,,580465011,,,,,,,,,,,,,,45
בית הלל,ארגון,בית הלל - הנהגה תורנית קשובה,,580559441,,"ארגון בית הלל - הנהגה רבנית קשובה מונה למעלה מ-160 רבנים ורבניות מקרב הציונות הדתית, הפרוסים ברחבי הארץ ומשמשים בתפקידי מנהיגות תורנית משמעותית.
הארגון נולד מתוך צורך להשמיע קול ולעורר עשייה ושיח של הנהגה תורנית מתונה, מאירה וקשובה בתחומים ציבוריים וחברתיים.
הנהגה זו מיועדת הן עבור הציבור הדתי והמסורתי והן עבור כלל עם ישראל, הצמא ומחפש את קולה של היהדות השקולה, הסובלנית ומאירת הפנים, יהדות המונהגת בדרכי נועם, שתוכל להביא בשורה רלוונטית לחברה הישראלית ולעם היהודי כולו.",,,,,,,,,,,,46
בית המדרש לרבנים באמריקה,קרן,,,,,,,,,,,,,,,,,47
בית הקהילות,ארגון,???,,,,"בית הקהילות היינו מרכז לקהילות הלהט""בק בחיפה והצפון. הבית נותן מענה לכלל האוכלוסיות הגאות במטרה לפתח תרבות גאה בחיפה והצפון ולתת מענים רחבים של רווחה ובריאות. פעילות הבית כוללת קבוצות חברתיות שונות לנוער ולמבוגרות/ים, מרחב בטוח לנוער, קליניקה, מרפאה, אירועי תרבות, חוגים ופעילויות הסברה והעשרה שונות.",,,,,,,,,,,,48
בית ישראל,ארגון,קבוצת רעות,???,580228054,,,,,,,,,,,,,,49
בית מדרש עין פרת,ארגון,בית מדרש ישראלי - עין פרת,,580607315,,#VALUE!,,,,יהדות חילונית,,,,,,,,50
בית מורשה,ארגון,בית מורשה בירושלים - מרכז ללימודים גבוהים ביהדות,,580110773,,,,,,,,,,,,,,51
בית פרת,ארגון,"בית מדרש ישראלי - עין פרת (ע""ר)",,580607315,,#VALUE!,,,https://beitprat.org/,יהדות חילונית,,,,,,,,52
בית תפילה ישראלי,ארגון,בית תפילה ישראלי בלב תל אביב,Beit Tfila Israeli,580454403,,,,,,,,,,,,,,53
בת קול,ארגון,בת קול - ארגון לסביות דתיות,Bat-Kol - Religious Lesbian Organization,580534493,,,,,בת-קול | ארגון לסביות דתיות (bat-kol.org),,,,,,,,,54
ג'וינט ישראל,קרן,,,,,,,,,,,,,,,,,55
ג'ונתן כהן,איש,,,,,,,,,,,,,,,,,56
ג'ונתן לופטין,איש,,,,,,,,,,,,,,,,,57
גוגל,חברה,,,,,,,,,,,,,,,,,58
גזית גלוב,קרן,,,,,,,,,,,,,,,,,59
גנדיר,קרן,,,,,,,,,,,,,,,,,60
גרמניה,מדינה זרה - גוף ממשלתי,,,,,,,,,,,,,,,,,61
גשר,ארגון,גשר מפעלים חינוכיים,,580054062,,,,,https://www.gesher.co.il/,,,,,,,,,62
דוגרי,ארגון,???,,,,,,,,,,,,,,,,63
דיאלוג - המכון למפגשים בין תרבותיים,ארגון,???,,,,,,1993,,,,,,"להפגיש בין אנשים ממדינות, תרבויות ודתות שונות
לגשר בין דעות וגישות פוליטיות
להקנות ערכים של סובלנות, סבלנות, כבוד הדדי וקבלת האחר
ליצור קשרי ידידות, חברות בין אנשים
לגרום לאמפטיה ולאכפתיות בין אנשים
לא להשכיח את העבר - לבנות על ליקחי העבר של שיתוף פעולה המונע אי-צדק, רדיפות ואנטישמיות
לחזק את ערכי הדמוקרטיה וזכויות האדם
להציג את מגוון הדעות הפוליטיות והחברתיות
לתת לאנשים תמונת מצב פוליטית, חברתית עכשוית, אוטנטית ואוביקטיבית",http://www.dialog.org.il/page.asp?page=147,,,64
דעה - עמותה לתיקון חברתי,ארגון,דעה - עמותה לתיקון חברתי,,580595874,,,,,,,,,,,,,,65
"האגודה למען הלהט""ב",ארגון,,,,,,,,,,,,,,,,,66
האגודה לקדום החנוך ירושלים,ארגון,האגודה לקדום החנוך ירושלים,,580028116,,,,,,,,,,,,,,67
"האגודה לשמירת זכויות הפרט (האגודה למען הלהט""ב)",ארגון,אגודה לשמירת זכויות הפרט,,580014058,,האגודה הנה ארגון הגג של הקהילה הגאה ומייצגת את הקהילה בזירה הארצית ובזירה הבינלאומית.,,,,,,,,,,,,68
האיחוד האירופי,מדינה זרה - גוף ממשלתי,,European Union,,,,,,,,,,,,,,,69
הארי טריגובוף,איש,,,,,,,,,,,,,,,,,70
הבית הגאה בבאר שבע,ארגון,בית גאה בבאר שבע,,580590701,,,,,,,,,,,,,,71
הבית הפתוח בירושלים,ארגון,הבית הפתוח בירושלים לגאווה ולסובלנות,Jerusalem Open House for Pride and Tolerance,580304111,,,,,,,,,,,,,,72
"הברית לשלום במזרח התיכון
Alliance for Middle East Peace (ALLMEP)",קרן,,,,,,,,,,,,,,,,,73
הג'וינט,קרן,,,,,,,,,,,,,,,,,74
ההסתדרות הציונית העולמית,קרן,,,,,,,,,,,,,,,,,75
"הו""ד",ארגון,"הו""ד - הומוסקסואלים דתיים",,580543445,,,,,,,,,,,,,,76
הופכות את היוצרות,ארגון,הופכות את היוצרות,,580549905,,,,,,,,,,,,,,77
