שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
דמיטרי ברנשטיין,איש,,,,,"מנכ""ל ומייסד, האקדמיה הצעירה, מרכזי חינוך יחודיים לגיל הרך",,,,,,,,,,,,663
יפה גיסר,איש,,,,,,,,,,,,,,,,,664
מיכל חמו לוטם,איש,,,,,"סגנית נשיא לחדשנות, המרכז הרפואי ע""ש חיים שיבא - תל השומר",,,,,,,,,,,,665
אשר כורסיה,איש,,,,,"מנהל וראש אולפנה, אולפנת בני עקיבא - מודיעין",,,,,,,,,,,,666
ליה לאור,איש,,,,,"דיקנית הפקולטה לחינוך, מכללת לוינסקי לחינוך",,,,,,,,,,,,667
גיא לוי,איש,,,,,,,,,,,,,,,,,668
שלמה פישר,איש,,,,,"מייסד ומנכ""ל, יסודות - המרכז לליבון ענייני תורה ומדינה",,,,,,,,,,,,669
אירנה צייטלין,איש,,,,,"יעוץ והוראת יוגה, רפואה סינית ונטורופתיה, מרכז א.נ.י",,,,,,,,,,,,670
ישראל שורק,איש,,,,,"לשעבר עורך, הד החינוך",,,,,,,,,,,,671
ליה אטינגר,איש,,,,,,,,,,,,,,,,,672
יעל בונה לוי,איש,,,,,מייסדת ומנהלת מעון לפעוטות בדרום תל אביב,,,,,,,,,,,,673
יוסף בר כוכבא,איש,,,,,,,,,,,,,,,,,674
רונן גופר,איש,,,,,"מנהל, דמוס: תהליכים שיתופיים לרשויות ממשלתיות, ארגונים וקהילות",,,,,,,,,,,,675
מיקי גרי,איש,,,,,"יו""ר לשעבר, קיבוץ יראון",,,,,,,,,,,,676
שמואל הר נוי,איש,,,,,"מנכ""ל, המכללה האקדמית צפת",,,,,,,,,,,,677
מירי ונד,איש,,,,,,,,,,,,,,,,,678
עבד חאיק,איש,,,,,"מנכ""ל מייסד, רשת מוסדות חינוך אלמוסתקבל",,,,,,,,,,,,679
אודי כתריאל,איש,,,,,,,,,,,,,,,,,680
אודי ליאון,איש,,,,,"מייסד ומנכ""ל, סוגיה",,,,,,,,,,,,681
מושיק לרנר,איש,,,,,"לשעבר מנהל בית ספר, הבית העגול",,,,,,,,,,,,682
סיגל מושכל עצמון,איש,,,,,"מרצה בכירה בחוג לחינוך, המכללה האקדמית לחינוך ע""ש דוד ילין",,,,,,,,,,,,683
יהודה מימרן,איש,,,,,,,,,,,,,,,,,684
נגיסט מנגשה,איש,,,,,,,,,,,,,,,,,685
יוחנן פלוסר,איש,,,,,"מנהל ומייסד, מרכז היענות, עמותת אחלה",,,,,,,,,,,,686
רונית רענן,איש,,,,,,,,,,,,,,,,,687
לאה שקדיאל,איש,,,,,"מורה, מכינות קדם-צבאיות. הייתה האישה הראשונה בישראל שכיהנה במועצה דתית. בספטמבר 2019 הוסמכה שקדיאל לרבנות ע""י | בית המדרש ""הראל"" בירושלים - בית מדרש ללימודי רבנות לגברים ונשים שהוקם ע""י הרב הרצל הפטר, והיא נמנית על הנשים המועטות שהוסמכו לרבנות אורתודוכסית. אשת שמאל קיצוני, כיהנה כחברת הנהלת האגודה לזכויות האזרח, פעילה במחסום Watch, במסל""ן (מרכז סיוע לנשים בנגב), ובמחויבות לצדק ולשלום (כולל בעניין הבדואים)",,,,,,,,,,,,688
אורה תדמור,איש,,,,,לשעבר יועצת אסטרטגית במערכות מידע,,,,,,,,,,,,689
דני בר גיורא,איש,,,,,,,,,,,,,,,,,690
לי גורדון,איש,,,,,"מייסד שותף ונציג בארצות הברית, ארגון ""יד ביד""",,,,,,,,,,,,691
טלי גורלי,איש,,,,,"טיפול אישי, דיאדי, טריאדי או משפחתי, מרכז הורים ופעוטות - מעלה אדומים",,,,,,,,,,,,692
אסתר גינדין,איש,,,,,לשעבר מנחת קבוצות וסדנאות בהוראת המדעים,,,,,,,,,,,,693
יונתן גלסר,איש,,,,,"מרצה, המכללה האקדמית אונו",,,,,,,,,,,,694
אילן הדס,איש,,,,,"מנהל אגף חינוך, מועצה מקומית תל-מונד",,,,,,,,,,,,695
נורית הרמן אלמוזלינו,איש,,,,,יועצת בתחום עיצוב מדיניות חינוכית,,,,,,,,,,,,696
נחום חופרי,איש,,,,,"מנהל תוכנית, מכון מופ""ת",,,,,,,,,,,,697
יצחק חפוטה,איש,,,,,"מנהל מחלקת כח-אדם, האוניברסיטה העברית בירושלים",,,,,,,,,,,,698
לוי יאנובסקי,איש,,,,,"רכז מתמטיקה, מכינה קדם אקדמאית, האוניברסיטה העברית",,,,,,,,,,,,699
זהר מליניאק,איש,,,,,"ראש בית, מחוז דרום, חותם",,,,,,,,,,,,700
מיקי נבו,איש,,,,,,,,,,,,,,,,,701
יעל פרידלר,איש,,,,,,,,,,,,,,,,,702
אלי פרץ,איש,,,,,"מנהל, בית ספר מבואות הנגב",,,,,,,,,,,,703
לוראנס רוזנגרט,איש,,,,,,,,,,,,,,,,,704
צביקה רייטר,איש,,,,,"לשעבר מנהל בית ספר ומנכ""ל, בית הספר השש שנתי לאמנויות ""רעות"" חיפה",,,,,,,,,,,,705
נחמיה רפל,איש,,,,,"מנהל ארכיון הקיבוץ הדתי. איש חינוך. מזכ""ל תנועת הקיבוץ הדתי לשעבר. חבר קבוצת יבנה.",,,,,,,,,,,,706
שרה שדמי,איש,,,,,"מנהלת פיתוח ידע ומשאבים, שדמות - מרכז למנהיגות בקהילה, אורנים המכללה האקדמית לחינוך",,,,,,,,,,,,707
רחל שליטא,איש,,,,,"לשעבר ראש התמחות - הדימוי החזותי בחינוך ובתרבות, מכון מופ""ת",,,,,,,,,,,,708
מירי שליסל,איש,,,,,"סמנכ""ל פדגוגי, דעת רשת חינוך דתי",,,,,,,,,,,,709
טובה אביחי-קרמר,איש,,,,,"מלווה רוחנית מוסמכת, פיתוח צוות והדרכה, עמותת קשובות",,,,,,,,,,,,710
בלהה אדמנית,איש,,,,,,,,,,,,,,,,,711
דובי איילון,איש,,,,,"חוואי, חוות ג'מוסים",,,,,,,,,,,,712
יוסי בן גל,איש,,,,,מנהל מיזם אחוות דוד,,,,,,,,,,,,713
מרטין בן מורה,איש,,,,,,,,,,,,,,,,,714
יעל בר לב,איש,,,,,יועצת חינוכית עצמאית,,,,,,,,,,,,715
רות בר עדן,איש,,,,,"יועצת ללימוד אנגלית, ג'רוזלם פוסט",,,,,,,,,,,,716
רעות גורדון,איש,,,,,"ממונה על יישום תוכנית ""תקווה ישראלית"" לשילוב מגזרים באקדמיה, סמינר הקיבוצים המכללה לחינוך לטכנולוגיה ולאמנויות",,,,,,,,,,,,717
שרה גרינצוויג,איש,,,,,,,,,,,,,,,,,718
זאב זיוון,איש,,,,,"מרצה לגיאוגרפיה, מגוון מכללות ואוניברסיטאות",,,,,,,,,,,,719
מיקי מוטולה,איש,,,,,"דיקן, אורנים המכללה האקדמית לחינוך",,,,,,,,,,,,720
טרוורק מולט,איש,,,,,"מרצה למתמטיקה ומדריכה פדגוגית, מכללת לוינסקי לחינוך",,,,,,,,,,,,721
אפרת מור,איש,,,,,"מדריכה פדגוגית במסלול לגיל הרך, סמינר הקיבוצים המכללה לחינוך לטכנולוגיה ולאמנויות",,,,,,,,,,,,722
תופאחה סאבה,איש,,,,,"מרצה בחוג לחינוך ויועצת לסטודנטים ערבים, המכללה האקדמית תל-חי למדע, סביבה וחברה",,,,,,,,,,,,723
רחל ענבר,איש,,,,,"לשעבר מורה לתיאטרון וספרות, לשעבר רכזת מגמת תיאטרון ורכזת אמנויות, בית ספר תל""י בית החינוך בירושלים",,,,,,,,,,,,724
בינה פבזנר,איש,,,,,"מנהלת, בית ספר ""שורשים"" משלב לדתיים וחילוניים, מושב נטור",,,,,,,,,,,,725
יונה פריטל,איש,,,,,"מנכ""לית, יד טבנקין - מכון המחקר, התיעוד והמרכז המוזיאלי",,,,,,,,,,,,726
גידי צור,איש,,,,,"מנכ""ל ומייסד, כיוונים - קידום צעירים עם נכויות בישראל",,,,,,,,,,,,727
דורון קורן,איש,,,,,"משכתב-עורך במוסף גלריה, עיתון הארץ",,,,,,,,,,,,728
מאיה קרני,איש,,,,,"מנהלת ומייסדת, מקום לרוח",,,,,,,,,,,,729
חיים רובינשטיין,איש,,,,,,,,,,,,,,,,,730
אלון רוזן,איש,,,,,"אלגוריתמיקאי, חברת אלתא",,,,,,,,,,,,731
סלעית רון,איש,,,,,"מנהלת תחום מדעים, חותם",,,,,,,,,,,,732
יצחק רקאנטי,איש,,,,,"מרכז התחום ומוביל - תואר שני באמנות חזותית, מכללת אמונה",,,,,,,,,,,,733
עליא אבו,איש,,,,,"בעלים, קפה בסמה",,,,,,,,,,,,734
חגי אגמון,איש,,,,,"מנהל ומייסד, המרכז הבין-תרבותי לירושלים",,,,,,,,,,,,735
רינה אידן,איש,,,,,"מרצה, החוג ללימודי ארץ ישראל, המכללה האקדמית בית ברל",,,,,,,,,,,,736
עלי אלאסד,איש,,,,,"עורך דין, אלאסד - משרד עורכי דין",,,,,,,,,,,,737
רונית אלדר,איש,,,,,לשעבר יועצת תקשורת ומיתוג,,,,,,,,,,,,738
אורי ארליך,איש,,,,,"מנהל אגף חינוך והדרכה, רשות הטבע והגנים",,,,,,,,,,,,739
טליה בירקאן,איש,,,,,"מקימה במשותף ומנהלת, המרכז הישראלי לפילוסופיה בחינוך - 'פילוסופיה לחיים'",,,,,,,,,,,,740
יצחק בן-משה,איש,,,,,"מחנך, בי""ס אוסישקין, כפר סבא",,,,,,,,,,,,741
יערה בר און,איש,,,,,"נשיאה, אורנים המכללה האקדמית לחינוך. נשיאת מכללת אורנים, היסטוריונית וחוקרת תרבות.",,,,,,,,,,,,742
רותי בר סיני,איש,,,,,"מרכזת קשרי חוץ, המכללה האקדמית לחינוך ע""ש דוד ילין",,,,,,,,,,,,743
ארנון ברוקשטיין,איש,,,,,מורה דרך ארצי - מומחה לירושלים,,,,,,,,,,,,744
אמנון גולדמן,איש,,,,,"מורה לאנגלית ומחנך, עירוני ג' חיפה",,,,,,,,,,,,745
מיקי הירשפלד,איש,,,,,"לשעבר מנהלת אזור צפון, בית אקשטיין",,,,,,,,,,,,746
איתי טלגם,איש,,,,,"מנצח, מייסד, תכניות ""מאסטרו"" לפיתוח מנהיגות",,,,,,,,,,,,747
ורד ליבנה,איש,,,,,ייעוץ ארגוני ופיתוח מנהלים,,,,,,,,,,,,748
מרתה פורת,איש,,,,,,,,,,,,,,,,,749
גיא צפוני,איש,,,,,יועץ לתכנון אסטרטגי קהילתי ופיתוח קהילה,,,,,,,,,,,,750
פנינה שור,איש,,,,,"מנחה ומרצה בתוכנית רביבים, האוניברסיטה העברית בירושלים",,,,,,,,,,,,751
דליה שטרנברג,איש,,,,,מטפלת ביבליותרפיסטית ומנחת סדנאות כתיבה ביבליותרפית,,,,,,,,,,,,752
אילנה אוריון,איש,,,,,"רכזת תוכניות חינוכיות, מתנ""ס יד אליהו",,,,,,,,,,,,753
אורית אילון,איש,,,,,עורכת דין,,,,,,,,,,,,754
ענת בן-דור,איש,,,,,"מייסדת ומנהלת הקליניקה לזכויות פליטים, הפקולטה למשפטים, אוניברסיטת תל-אביב",,,,,,,,,,,,755
תמר גורן,איש,,,,,"ראש תחום פיתוח מקצועי, בית הספר ללימודי תעודה, סמינר הקיבוצים המכללה לחינוך לטכנולוגיה ולאמנויות",,,,,,,,,,,,756
עקיבא גלר,איש,,,,,"לשעבר מנהל, בית ספר המתמיד רמת גן",,,,,,,,,,,,757
ניהאיה דאוד,איש,,,,,"מרצה, המחלקה לאפדימולוגיה והערכת שרותי בריאות, אוניברסיטת בן-גוריון בנגב",,,,,,,,,,,,758
מור דשן,איש,,,,,"משנה למנכ""ל, רשת דרכא",,,,,,,,,,,,759
ראובן הכהן אוריה,איש,,,,,,,,,,,,,,,,,760
יהודית זמיר-מילר,איש,,,,,"מורה ומחנכת כיתת לקויי תקשורת - אספרגר, בית הספר המסורתי בירושלים",,,,,,,,,,,,761
מיכאל ידוביצקי,איש,,,,,,,,,,,,,,,,,762
נאוה כהן,איש,,,,,"מרצה במדרשה למקצועות ההנחיה, מכון אדלר",,,,,,,,,,,,763
אריאל לוי,איש,,,,,,,,,,,,,,,,,764
דני מוג'ה,איש,,,,,"ראש המחלקה לקולנוע בפקולטה לאמנויות - המדרשה, המכללה האקדמית בית ברל",,,,,,,,,,,,765
וליד מולא,איש,,,,,"מרצה, מכללת אורנים ואוניברסיטת חיפה",,,,,,,,,,,,766
דבורה סמט,איש,,,,,"מורה ורכזת בתחומי מדע ומחשבת ישראל, בתי ספר תיכוניים ועל-תיכוניים",,,,,,,,,,,,767
איתן קופר,איש,,,,,,,,,,,,,,,,,768
מרים קורקוס-פאנויאן,איש,,,,,"מנהלת אגף חינוך, מועצה מקומית זכרון יעקב",,,,,,,,,,,,769
יונתן רודניק,איש,,,,,"רב קהילה, הפדרציה היהודית של קנזס",,,,,,,,,,,,770
דורית שוויקי,איש,,,,,"ראשת תחום ביואינפורמטיקה ותוכנית המצטיינים, האקדמית תל אביב-יפו",,,,,,,,,,,,771
חסן אגבאריה,איש,,,,,,,,,,,,,,,,,772
רני אלון,איש,,,,,"ראש בית המדרש, המדרשה למנהיגות חברתית עין פרת ביישוב אלון",,,,,,,,,,,,773
יועד אליעז,איש,,,,,"מרצה בחוג לחינוך, המכללה האקדמית עמק יזרעאל ע""ש מקס שטרן",,,,,,,,,,,,774
בוריס אפשטיין,איש,,,,,"מחנך מחזור ומורה למדעי הסביבה, כפר נירים לנוער בסיכון גבוה",,,,,,,,,,,,775
אבישי בן עמרם,איש,,,,,"לשעבר סגן יו""ר ומייסד שותף, עמותת מפרשי שלום",,,,,,,,,,,,776
סמיון גולדין,איש,,,,,"מנהל ועמית מחקר בכיר, מרכז צ'ייס למדעי היהדות ברוסית, האוניברסיטה העברית בירושלים",,,,,,,,,,,,777
מיכל גלבוע אטר,איש,,,,,"מנכ""לית שותפה, המכון לחינוך דמוקרטי",,,,,,,,,,,,778
אסף ויטמן,איש,,,,,"מנכ""ל, IPM",,,,,,,,,,,,779
קובי וינר,איש,,,,,,,,,,,,,,,,,780
איה חיראדין,איש,,,,,,,,,,,,,,,,,781
דליה כהן,איש,,,,,"סמנכ""ל פיתוח, רשת דרכא",,,,,,,,,,,,782
מרדכי כהן,איש,,,,,,,,,,,,,,,,,783
רם כהן,איש,,,,,"מנהל, בית ספר תיכון ""תיכונט"", תל אביב יפו. איש חינוך ומנהל בית ספר תיכון בתל אביב. פעיל בנושאי חברה, חינוך ופוליטיקה. מנהל תיכונט ע'ש אלתרמן, תל אביב-יפו. יוזם ומנהל בי""ס ""תיכונט"" בת""א, בעבר מנהל תיכון עירוני א' לאומנויות ובי""ס הירדן בדרום ת""א.",,,,,,,,,,,,784
ליסה לוי,איש,,,,,"ראש תחום עתודה ניהולית, אבני ראשה - המכון הישראלי למנהיגות בית ספרית",,,,,,,,,,,,785
עדה ספנוב,איש,,,,,"מנהלת, עמותת עולים על הגל",,,,,,,,,,,,786
דליה פרץ,איש,,,,,,,,,,,,,,,,,787
רחל קרן,איש,,,,,"ראש בית מדרש, מדרשת עין הנצי""ב",,,,,,,,,,,,788
אריק שגב,איש,,,,,"חבר סגל, מכללת קיי",,,,,,,,,,,,789
שרה שחף,איש,,,,,"עמיתת הוראה בחוג לסיעוד, בתכניות לתואר ראשון ושני וראש תוכנית ההשלמה ל-BA בסיעוד לאחיות מוסמכות במגזר החרדי, אוניברסיטת חיפה",,,,,,,,,,,,790
שלמה אילן,איש,,,,,,,,,,,,,,,,,791
נעמי באום,איש,,,,,יועצת בתחום הטראומה והחוסן,,,,,,,,,,,,792
אסנת בר אור,איש,,,,,"הוראת סדנא דו-לשונית במשכן לאמנויות, אוניברסיטת חיפה",,,,,,,,,,,,793
טלי גביש,איש,,,,,"דיקנית הפקולטה לאומנויות, סמינר הקיבוצים המכללה לחינוך לטכנולוגיה ולאמנויות",,,,,,,,,,,,794
שבי גוברין,איש,,,,,"ראש בית הספר ללימודי תעודה, סמינר הקיבוצים המכללה לחינוך לטכנולוגיה ולאמנויות",,,,,,,,,,,,795
אילת דויטש,איש,,,,,"סמנכ""לית מו""פ והערכה, רשת אמי""ת",,,,,,,,,,,,796
אריה ונגר,איש,,,,,,,,,,,,,,,,,797
חפצי זוהר,איש,,,,,"סגנית ראש עיריית באר שבע, מחזיקה בתיק החינוך והרווחה בעירייה",,,,,,,,,,,,798
דנה זקס,איש,,,,,"מנהלת רשת מכינות קדם צבאיות, שנות שירות וכפרי הנוער, הסוכנות היהודית לארץ ישראל",,,,,,,,,,,,799
יונית יעקובוביץ,איש,,,,,,,,,,,,,,,,,800
לי את כהן,איש,,,,,"מנהלת, מתנ""ס מעלה יוסף",,,,,,,,,,,,801
אתי כוכבי,איש,,,,,"מנהלת הדרכות ופיתוח תוכן, קדימה מדע",,,,,,,,,,,,802
ניר להב,איש,,,,,,,,,,,,,,,,,803
שמחה לוי,איש,,,,,,,,,,,,,,,,,804
ניר מיכאלי,איש,,,,,חינוך,,,,,,,,,,,,805
רע'דה מסאלחה,איש,,,,,"מייסדת ומנהלת המרכז הארצי להורות, משפחה וקהילה בחברה הערבית, אלקאסמי מכללה אקדמית לחינוך",,,,,,,,,,,,806
יעל נאמן-ברק,איש,,,,,,,,,,,,,,,,,807
יוסי סופר,איש,,,,,"מנהל תוכן ותפעול, בית הספר לתקשורת מקדמת",,,,,,,,,,,,808
חמוטל פרת,איש,,,,,"מנחה ומלווה פדגוגית ושותפה לצוות הפיתוח, מכון ברנקו וייס",,,,,,,,,,,,809
אסתי רוסט,איש,,,,,יועצת ארגונית במערכות חינוך ויועצת זוגית ומשפחתית,,,,,,,,,,,,810
דנה אלכסנדר,איש,,,,,,,,,,,,,,,,,811
דויד גל,איש,,,,,,,,,,,,,,,,,812
אירה דשבסקי,איש,,,,,,,,,,,,,,,,,813
גל וייס,איש,,,,,לשעבר מנהלת מחלקת מחקר ותכנון שיווקי ומקימה ומנהלת מחלקת טכנולוגיות במספר פרוייקטים,,,,,,,,,,,,814
עופר זהבי,איש,,,,,"מנהל מחקר ופיתוח, בית אקשטיין",,,,,,,,,,,,815
אהרל'ה כהן,איש,,,,,"מרצה להיסטוריה, המכללה האקדמית ספיר",,,,,,,,,,,,816
טלי כהן,איש,,,,,,,,,,,,,,,,,817
גלית ספורטה,איש,,,,,"מנהלת, Gate48",,,,,,,,,,,,818
סמירה עליאן,איש,,,,,"מרצה וחוקרת בבית הספר לחינוך, האוניברסיטה העברית בירושלים",,,,,,,,,,,,819
מוהנא פארס,איש,,,,,,,,,,,,,,,,,820
אורלי פרוכטר יגודובסקי,איש,,,,,,,,,,,,,,,,,821
בני פרל,איש,,,,,"מנהל בית ספר וראש הישיבה, הישיבה לאמנויות ומדעים ""בר אילן""",,,,,,,,,,,,822
אמירה פרלוב,איש,,,,,"מנהלת בית ספר, בי""ס משותף דתי-חילוני, כפר אדומים",,,,,,,,,,,,823
פטמה קאסם אגבריה,איש,,,,,"מרצה, מכללת אחווה",,,,,,,,,,,,824
מיכל קפלן רוקמן,איש,,,,,,,,,,,,,,,,,825
מנדי רבינוביץ,איש,,,,,"מנהל, קמפוס ""בית בירם"", בית הספר הריאלי, חיפה",,,,,,,,,,,,826
מיכל שביט,איש,,,,,,,,,,,,,,,,,827
איילת שופטי,איש,,,,,"לשעבר מלוות צוות וחברים, בית אלישע, קהילה מרפאת, קיבוץ הרדוף",,,,,,,,,,,,828
ינקלה שטיינברג,איש,,,,,"מנהל מחלקת חינוך, מועצה אזורית יואב",,,,,,,,,,,,829
דביר שלומי,איש,,,,,"מנהל, בית הספר העל-יסודי למדעים ואמנויות (עירוני א'), מודיעין",,,,,,,,,,,,830
ארז אבנר,איש,,,,,,,,,,,,,,,,,831
תמר אוגד,איש,,,,,,,,,,,,,,,,,832
יפת אלמו,איש,,,,,"אח מוסמך, בית החולים, הדסה",,,,,,,,,,,,833
דניאל אלעזר,איש,,,,,,,,,,,,,,,,,834
שרית ברזילאי,איש,,,,,"מייסדת ומנהלת שיטת סמ""ל לייעוץ, להעצמה ולהכשרה נרטיבית, מכון סמ""ל (סיפורים מובילים להצלחה)",,,,,,,,,,,,835
משה גודלובסקי,איש,,,,,"מנהל, בית הספר האזורי, קיבוץ לביא",,,,,,,,,,,,836
ענת גופן,איש,,,,,"חברת סגל בבית הספר למדיניות ציבורית, האוניברסיטה העברית בירושלים",,,,,,,,,,,,837
גיא גרדי,איש,,,,,"מנהל, מורשה - רשת בתי ספר למורשת היהדות ולמעורבות קהילתית",,,,,,,,,,,,838
רוני הרניק,איש,,,,,"מנהל, ביה""ס הדמוקרטי ע""ש נדב במודיעין",,,,,,,,,,,,839
דובי וייס,איש,,,,,"ראש תחום פדגוגיה דיגיטלית, סמינר הקיבוצים המכללה לחינוך, לטכנולוגיה ואומנויות",,,,,,,,,,,,840
קארן טל,איש,,,,,"מייסדת ומנכ""לית, תובנות בחינוך",,,,,,,,,,,,841
אמירה מוסא,איש,,,,,"מנהלת, מתנ""ס אבו סנאן",,,,,,,,,,,,842
ציפי מימון,איש,,,,,"מורה, אשכולות - מרכז העשרה לתלמידים מצטיינים",,,,,,,,,,,,843
באסם עיאדאת,איש,,,,,,,,,,,,,,,,,844
שרה קרמר,איש,,,,,"ראש המחלקה לקשרי חוץ ופתוח משאבים, המכללה האקדמית בית ברל",,,,,,,,,,,,845
ערן אל-בר,איש,,,,,"מרצה, קריית החינוך גבעת וושינגטון",,,,,,,,,,,,846
דוד אנסבכר,איש,,,,,"יזם בתחום התיירות החינוכית, אוצרות - תיירות חינוכית. יזם חברתי ותיירותי, יועץ בתחום התיירות, מפתח תכניות תיירותיות, רב קהילה. MA בחינוך והיסטוריה של עם ישראל האוניברסיטה העברית.",,,,,,,,,,,,847
אבי גולן,איש,,,,,"מורה למדע חישובי, מכון ויצמן למדע",,,,,,,,,,,,848
מרים דרמוני שרביט,איש,,,,,#VALUE!,,,,קונסרבטיבי,https://www.facebook.com/Masorti.Israel/photos/a.164154326958743/1057754024265431/?type=1&theater,,,,,,,849
אריה מארק,איש,,,,,,,,,,,,,,,,,850
שולה מולא,איש,,,,,,,,,,,,,,,,,851
דוריס מור,איש,,,,,"מנכ""לית ומייסדת, מכון עוגנים - חינוך למניעת אלימות ולפיתוח קהילתי",,,,,,,,,,,,852
דב מימון,איש,,,,,"עמית בכיר, מכון למדיניות העם היהודי",,,,,,,,,,,,853
חן שפירא,איש,,,,,"מרצה ומנחה, בצלאל, אקדמיה לאמנות ועיצוב, ירושלים",,,,,,,,,,,,854
איילת שקולניק,איש,,,,,"אימון ארגוני ואישי למנהלי מלכ""רים ומוסדות חינוכיים",,,,,,,,,,,,855
זיו שר,איש,,,,,"מנהל, בית חינוך אופק, תיכון אזורי ז'- י""ב, קיבוץ עברון",,,,,,,,,,,,856
סוהא תאבת,איש,,,,,,,,,,,,,,,,,857
נאסר אבו סאפי,איש,,,,,"מנהל תחום חברה ערבית, מכון לחינוך דמוקרטי",,,,,,,,,,,,858
שרית אלנבוגן,איש,,,,,"מנהלת פיתוח ארגוני ומנהלת היחידה ללמידה מהצלחות וללמידה מתמשכת במערכות חברתיות, מאיירס-ג'וינט-ברוקדייל",,,,,,,,,,,,859
מאיה בוזו,איש,,,,,,,,,,,,,,,,,860
נתן ביטון,איש,,,,,"מנכ""ל, כפר הנוער הדסה נעורים",,,,,,,,,,,,861
סועאד דיאב,איש,,,,,"מנהלת תוכנית ""מַסִירַה"" (מסע בערבית) לסיוע לאנשים עם מוגבלות בחברה הערבית, מייסדת וחברת הנהלה בקרן ""מַסִירַה"" , ג'וינט ישראל - מסד נכויות",,,,,,,,,,,,862
מיכל כהן הטב,איש,,,,,"מנהלת תכניות בתחום ילדים ונוער עם מוגבלות ובני משפחותיהם, ג'וינט ישראל - אשלים",,,,,,,,,,,,863
לילך מרום,איש,,,,,"דוקטורנטית , אוניברסיטת קולומביה",,,,,,,,,,,,864
דליה מרקוביץ,איש,,,,,"מרצה בכירה, המכללה האקדמית בית ברל",,,,,,,,,,,,865
סוניה סולומוניק,איש,,,,,"מנחה השתלמויות בנושא דו לשוניות והבדלי תרבות, עצמאית",,,,,,,,,,,,866
ארי סמג'ה,איש,,,,,"מפמ""ר תחום הלכות ואורחות חיים , מעיין החינוך התורני",,,,,,,,,,,,867
יעל עופרים,איש,,,,,"מרצה, סמינר הקיבוצים המכללה לחינוך לטכנולוגיה ולאמנויות",,,,,,,,,,,,868
גל פישר,איש,,,,,"ראש תחום חינוך, יד הנדיב",,,,,,,,,,,,869
ליאורה פסקל,איש,,,,,"מייסדת ומנהלת תחום מחקר, הערכה ומדידה, קרן אבי חי",,,,,,,,,,,,870
יואב שור,איש,,,,,,,,,,,,,,,,,871
גרניט אלמוג-ברקת,איש,,,,,,,,,,,,,,,,,872
נטשה דודינסקי,איש,,,,,"מנהלת אומנותית, עמותת זוכרות",,,,,,,,,,,,873
ערן דורון,איש,,,,,,,,,,,,,,,,,874
עמנואל זילברמן-גולדברג,איש,,,,,,,,,,,,,,,,,875
מראם מסראוי,איש,,,,,"דיקנית הפקולטה לחינוך, אלקאסמי מכללה אקדמית לחינוך",,,,,,,,,,,,876
יובל עברי,איש,,,,,"עמית מחקר, SOAS University of London",,,,,,,,,,,,877
דן פרת,איש,,,,,"מנהל פרויקטים חינוכיים, צור לבון - קרן סטף ורטהיימר",,,,,,,,,,,,878
איל שאול,איש,,,,,,,,,,,,,,,,,879
ענבר אביטל,איש,,,,,"מנהלת , בית הספר הדמוקרטי-פלורליסטי קשת בזכרון יעקב",,,,,,,,,,,,880
יהודית אופנהיימר,איש,,,,,,,,,,,,,,,,,881
גולדי אנדראה אורלן,איש,,,,,"מנהלת, תמר- תזונה מצמיחה רווחים גופניים ונפשיים",,,,,,,,,,,,882
סלימאן אלגריני,איש,,,,,,,,,,,,,,,,,883
נעמה גולדברג,איש,,,,,"מנהלת מסלול ״החממה ליזמות חינוכית״, המכון לחינוך דמוקרטי",,,,,,,,,,,,884
איריס וולף,איש,,,,,,,,,,,,,,,,,885
אריה חסקין,איש,,,,,,,,,,,,,,,,,886
איתן מורן,איש,,,,,"בעל תואר שני במינהל ומדיניות ציבורית, אוניברסיטת בן גוריון בנגב.",,,,,,,,,,,,887
מיכל סלע,איש,,,,,", יועצת עצמאית",,,,,,,,,,,,888
רונית עמיאל גרבי,איש,,,,,,,,,,,,,,,,,889
חגי שריר,איש,,,,,,,,,,,,,,,,,890
אורי אליס,איש,,,,,,,,,,,,,,,,,891
יעל ביבר,איש,,,,,"מנהלת, בית הספר אלונים, ראשון לציון",,,,,,,,,,,,892
שרונה בר-נס,איש,,,,,מנחה ויועצת בכירה לפיתוח מקצועי והטמעת חדשנות ארגונית,,,,,,,,,,,,893
סאלח דראושה,איש,,,,,,,,,,,,,,,,,894
רם זהבי,איש,,,,,"ראש ישיבה, ישיבת בני עקיבא ""יד אברהם"", נתניה",,,,,,,,,,,,895
ניר חזיזיה,איש,,,,,,,,,,,,,,,,,896
רן לוסטיגמן,איש,,,,,"מנהל סגל המרצים ומרצה בכיר, המתמחה",,,,,,,,,,,,897
קטף מוראד-סלאמה,איש,,,,,,,,,,,,,,,,,898
דורון מרגלית,איש,,,,,,,,,,,,,,,,,899
דויד נמרוד סימרוט,איש,,,,,"מנהל, קריית חינוך שש שנתית- גימנסיה גן נחום, ראשון לציון",,,,,,,,,,,,900
תמר פלד אמיר,איש,,,,,,,,,,,,,,,,,901
